"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","395","18.5%","24.3%","43.5%","13.7%","5,965","1.6%","8.6%","26.5%","23.1%","6.5%","26.8%","6.9%","89.7%","33.6%","910","89.8%","45.9%","1,049","94.1%","43.4%","2,657","92.1%","31.9%","1,349","81.6%","21.2%"
"Petroleum County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7","0.0%","57.1%","42.9%","0.0%","450","3.1%","4.7%","44.2%","28.7%","5.6%","12.7%","1.1%","92.2%","13.8%","93","100.0%","32.3%","74","95.9%","10.8%","165","97.0%","6.7%","118","77.1%","11.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7","0.0%","57.1%","42.9%","0.0%","271","5.2%","0.0%","51.3%","27.7%","4.4%","11.4%","0.0%","94.8%","11.4%","74","100.0%","27.0%","45","100.0%","6.7%","94","100.0%","3.2%","58","75.9%","8.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","179","0.0%","11.7%","33.5%","30.2%","7.3%","14.5%","2.8%","88.3%","17.3%","19","100.0%","52.6%","29","89.7%","17.2%","71","93.0%","11.3%","60","78.3%","13.3%"
"Phillips County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","179","65.9%","15.1%","16.8%","2.2%","3,054","6.9%","4.9%","41.6%","22.1%","8.7%","12.0%","3.8%","88.2%","15.8%","356","94.9%","16.0%","414","93.7%","34.8%","1,410","92.6%","14.1%","874","75.7%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96","57.3%","28.1%","14.6%","0.0%","1,490","9.5%","6.6%","40.1%","20.8%","8.9%","11.0%","3.2%","84.0%","14.2%","177","94.4%","4.5%","205","91.2%","45.4%","676","87.3%","13.5%","432","71.1%","4.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83","75.9%","0.0%","19.3%","4.8%","1,564","4.5%","3.3%","43.0%","23.3%","8.6%","13.0%","4.3%","92.2%","17.3%","179","95.5%","27.4%","209","96.2%","24.4%","734","97.4%","14.7%","442","80.3%","14.0%"
"Pondera County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","433","48.3%","29.8%","21.9%","0.0%","4,179","8.2%","5.1%","31.4%","26.2%","9.7%","14.3%","5.0%","86.6%","19.3%","614","79.2%","16.3%","695","92.4%","16.4%","1,752","90.9%","23.1%","1,118","80.6%","17.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","216","48.6%","37.0%","14.4%","0.0%","2,038","8.6%","7.0%","29.5%","27.3%","8.9%","14.0%","4.6%","84.4%","18.6%","310","71.6%","14.8%","337","93.8%","15.4%","877","90.4%","21.7%","514","75.9%","17.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","217","47.9%","22.6%","29.5%","0.0%","2,141","7.8%","3.4%","33.2%","25.1%","10.4%","14.6%","5.4%","88.7%","20.0%","304","86.8%","17.8%","358","91.1%","17.3%","875","91.3%","24.5%","604","84.6%","16.2%"
"Powder River County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","109","42.2%","6.4%","45.9%","5.5%","1,162","3.2%","4.9%","33.2%","34.8%","7.8%","11.6%","4.5%","91.9%","16.1%","136","88.2%","22.1%","151","100.0%","9.9%","550","98.9%","18.9%","325","77.8%","11.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70","54.3%","4.3%","41.4%","0.0%","584","5.0%","6.3%","31.5%","34.2%","8.0%","9.1%","5.8%","88.7%","14.9%","66","93.9%","21.2%","76","100.0%","6.6%","288","97.9%","15.6%","154","63.6%","14.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39","20.5%","10.3%","53.8%","15.4%","578","1.4%","3.5%","34.9%","35.3%","7.6%","14.2%","3.1%","95.2%","17.3%","70","82.9%","22.9%","75","100.0%","13.3%","262","100.0%","22.5%","171","90.6%","8.8%"
"Powell County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","539","26.0%","37.5%","33.8%","2.8%","5,313","3.4%","7.6%","42.2%","20.9%","7.2%","13.5%","5.1%","89.0%","18.7%","759","79.8%","16.3%","1,078","92.9%","19.2%","2,366","92.7%","19.0%","1,110","83.3%","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","411","23.1%","45.5%","29.2%","2.2%","3,278","4.2%","10.3%","45.0%","18.9%","6.3%","9.5%","5.8%","85.5%","15.2%","526","74.3%","11.2%","760","90.9%","9.5%","1,433","91.4%","17.3%","559","73.7%","21.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","128","35.2%","11.7%","48.4%","4.7%","2,035","2.1%","3.4%","37.6%","24.0%","8.6%","20.1%","4.1%","94.4%","24.2%","233","92.3%","27.9%","318","97.8%","42.5%","933","94.6%","21.7%","551","93.1%","16.5%"
"Prairie County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","105","12.4%","54.3%","28.6%","4.8%","848","7.9%","6.8%","34.7%","26.3%","10.8%","10.8%","2.6%","85.3%","13.4%","64","90.6%","6.3%","79","100.0%","31.6%","391","94.4%","17.9%","314","69.1%","4.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66","6.1%","66.7%","19.7%","7.6%","404","8.9%","5.4%","38.9%","27.7%","7.7%","7.2%","4.2%","85.6%","11.4%","38","84.2%","10.5%","39","100.0%","15.4%","177","95.5%","14.7%","150","70.7%","6.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39","23.1%","33.3%","43.6%","0.0%","444","7.0%","8.1%","30.9%","25.0%","13.7%","14.2%","1.1%","84.9%","15.3%","26","100.0%","0.0%","40","100.0%","47.5%","214","93.5%","20.6%","164","67.7%","3.0%"
"Ravalli County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,560","18.8%","47.9%","28.4%","4.9%","28,378","2.6%","6.7%","34.2%","24.9%","6.6%","17.9%","7.1%","90.7%","25.0%","3,534","90.6%","23.7%","4,794","95.0%","27.2%","12,777","92.7%","27.5%","7,273","84.3%","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,371","24.9%","49.1%","25.7%","0.4%","13,771","3.1%","7.0%","33.6%","23.2%","5.9%","19.3%","7.9%","89.8%","27.2%","1,705","89.0%","20.0%","2,375","94.8%","28.4%","6,172","91.4%","29.7%","3,519","84.1%","25.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,189","11.8%","46.5%","31.5%","10.2%","14,607","2.2%","6.4%","34.8%","26.4%","7.3%","16.5%","6.4%","91.4%","22.9%","1,829","92.1%","27.2%","2,419","95.2%","26.1%","6,605","93.9%","25.5%","3,754","84.4%","14.2%"
"Richland County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","707","17.7%","48.1%","21.9%","12.3%","6,545","7.4%","7.7%","39.2%","20.5%","8.6%","12.8%","3.9%","84.9%","16.6%","1,107","85.7%","13.7%","1,068","87.5%","24.0%","2,942","88.0%","18.6%","1,428","76.0%","9.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391","18.4%","41.9%","29.7%","10.0%","3,356","8.3%","9.1%","39.6%","19.6%","7.9%","9.2%","6.2%","82.6%","15.4%","596","79.9%","6.0%","548","85.9%","11.5%","1,561","86.8%","21.1%","651","72.2%","13.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","316","16.8%","55.7%","12.3%","15.2%","3,189","6.3%","6.3%","38.7%","21.4%","9.3%","16.5%","1.4%","87.4%","17.9%","511","92.6%","22.7%","520","89.0%","37.1%","1,381","89.4%","15.7%","777","79.2%","5.8%"
"Roosevelt County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,136","33.1%","46.9%","19.6%","0.4%","5,889","4.0%","6.9%","40.8%","22.5%","8.5%","12.6%","4.7%","89.1%","17.3%","904","94.6%","14.9%","1,237","91.7%","12.5%","2,591","91.1%","20.1%","1,157","77.8%","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","631","29.5%","46.9%","23.6%","0.0%","2,741","5.1%","5.4%","44.7%","21.1%","9.0%","10.8%","3.8%","89.5%","14.7%","419","92.4%","6.9%","596","93.5%","8.1%","1,258","90.8%","18.2%","468","78.4%","20.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","505","37.6%","46.9%","14.7%","0.8%","3,148","3.0%","8.2%","37.5%","23.8%","8.0%","14.1%","5.5%","88.8%","19.6%","485","96.5%","21.9%","641","90.0%","16.7%","1,333","91.4%","22.0%","689","77.4%","16.1%"
"Rosebud County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769","31.9%","32.0%","33.3%","2.9%","5,580","4.7%","6.8%","36.4%","25.9%","8.5%","12.0%","5.6%","88.5%","17.6%","801","88.1%","22.1%","1,170","93.8%","24.3%","2,604","92.2%","15.0%","1,005","72.8%","13.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365","39.7%","30.4%","29.9%","0.0%","2,787","5.5%","6.9%","37.1%","26.5%","7.6%","9.4%","7.0%","87.6%","16.4%","414","88.2%","23.7%","546","95.4%","20.0%","1,338","90.1%","14.3%","489","71.4%","11.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404","24.8%","33.4%","36.4%","5.4%","2,793","4.0%","6.6%","35.7%","25.4%","9.4%","14.7%","4.2%","89.4%","18.9%","387","88.1%","20.4%","624","92.5%","28.0%","1,266","94.5%","15.7%","516","74.2%","14.3%"
"Sanders County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","625","23.2%","56.3%","16.2%","4.3%","8,374","4.8%","8.6%","43.5%","21.2%","6.2%","12.3%","3.3%","86.6%","15.6%","932","88.7%","10.7%","1,129","95.0%","18.1%","3,978","89.1%","14.7%","2,335","77.4%","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","320","26.3%","63.1%","10.6%","0.0%","4,210","6.2%","10.1%","45.3%","18.4%","4.8%","10.4%","4.9%","83.8%","15.3%","468","82.1%","8.1%","541","97.2%","18.5%","2,008","84.7%","12.5%","1,193","76.8%","21.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","305","20.0%","49.2%","22.0%","8.9%","4,164","3.3%","7.2%","41.8%","24.1%","7.7%","14.2%","1.8%","89.5%","15.9%","464","95.5%","13.4%","588","93.0%","17.7%","1,970","93.6%","17.0%","1,142","78.1%","14.2%"
"Sheridan County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","140","41.4%","40.0%","18.6%","0.0%","2,746","5.1%","9.7%","30.0%","30.1%","9.5%","11.9%","3.8%","85.3%","15.7%","358","83.5%","7.8%","349","79.7%","4.6%","1,160","88.8%","22.6%","879","83.6%","14.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77","32.5%","48.1%","19.5%","0.0%","1,343","3.9%","10.3%","28.0%","32.7%","10.6%","10.4%","4.0%","85.7%","14.4%","182","86.8%","5.5%","156","92.3%","5.1%","633","87.5%","19.1%","372","79.3%","14.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63","52.4%","30.2%","17.5%","0.0%","1,403","6.1%","9.0%","31.9%","27.6%","8.5%","13.3%","3.6%","84.9%","17.0%","176","80.1%","10.2%","193","69.4%","4.1%","527","90.3%","26.8%","507","86.8%","14.0%"
"Silver Bow County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,393","13.3%","39.4%","40.1%","7.3%","23,065","2.8%","6.0%","38.9%","22.2%","7.2%","15.5%","7.4%","91.2%","22.9%","3,637","90.1%","22.2%","4,112","97.3%","30.3%","9,831","92.7%","23.7%","5,485","84.7%","16.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,928","13.5%","34.0%","44.2%","8.2%","11,216","2.9%","6.6%","36.7%","23.1%","5.9%","16.4%","8.5%","90.5%","24.8%","1,872","89.3%","18.4%","2,110","97.8%","27.1%","4,903","91.6%","26.1%","2,331","82.5%","25.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,465","13.0%","46.5%","34.5%","5.9%","11,849","2.7%","5.4%","41.0%","21.4%","8.4%","14.7%","6.5%","91.9%","21.1%","1,765","91.0%","26.3%","2,002","96.7%","33.7%","4,928","93.8%","21.3%","3,154","86.4%","10.0%"
"Stillwater County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473","26.4%","27.9%","37.8%","7.8%","6,386","1.8%","6.2%","39.0%","24.0%","6.6%","16.2%","6.1%","92.0%","22.3%","849","92.9%","22.7%","1,072","95.3%","20.6%","3,056","93.9%","24.2%","1,409","84.6%","19.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","260","36.9%","26.5%","32.7%","3.8%","3,209","1.6%","5.8%","43.4%","22.3%","5.8%","15.4%","5.8%","92.6%","21.2%","417","95.7%","23.7%","545","94.7%","18.2%","1,554","95.7%","21.8%","693","82.4%","20.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","213","13.6%","29.6%","44.1%","12.7%","3,177","2.0%","6.7%","34.7%","25.8%","7.4%","17.1%","6.4%","91.3%","23.5%","432","90.3%","21.8%","527","96.0%","23.1%","1,502","92.1%","26.7%","716","86.7%","18.0%"
"Sweet Grass County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82","23.2%","59.8%","12.2%","4.9%","2,695","2.3%","4.9%","36.9%","19.9%","7.1%","23.2%","5.6%","92.8%","28.8%","334","97.0%","17.4%","486","97.1%","18.3%","1,244","96.3%","35.8%","631","80.2%","29.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22","0.0%","68.2%","31.8%","0.0%","1,436","2.1%","4.7%","40.9%","18.9%","5.6%","22.1%","5.6%","93.2%","27.7%","188","100.0%","14.4%","286","96.5%","8.0%","611","100.0%","39.1%","351","75.2%","31.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60","31.7%","56.7%","5.0%","6.7%","1,259","2.6%","5.2%","32.3%","21.0%","8.7%","24.5%","5.6%","92.2%","30.1%","146","93.2%","21.2%","200","98.0%","33.0%","633","92.7%","32.5%","280","86.4%","27.1%"
"Teton County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","385","36.9%","28.3%","26.0%","8.8%","4,295","6.4%","8.1%","32.8%","23.5%","6.4%","18.3%","4.6%","85.6%","22.9%","518","73.9%","16.6%","699","90.6%","42.2%","1,822","91.6%","23.4%","1,256","78.8%","13.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172","30.8%","39.5%","29.7%","0.0%","2,107","6.6%","8.5%","31.0%","24.8%","5.9%","17.5%","5.6%","84.9%","23.2%","261","77.4%","13.8%","348","86.2%","30.7%","925","91.6%","26.6%","573","76.6%","17.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","213","41.8%","19.2%","23.0%","16.0%","2,188","6.2%","7.6%","34.6%","22.2%","6.9%","19.0%","3.6%","86.2%","22.6%","257","70.4%","19.5%","351","94.9%","53.6%","897","91.6%","20.1%","683","80.7%","11.1%"
"Toole County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345","29.0%","21.7%","44.9%","4.3%","3,704","6.5%","6.1%","34.7%","24.2%","11.2%","12.3%","5.0%","87.4%","17.4%","696","91.7%","5.0%","673","90.2%","17.2%","1,630","88.9%","21.5%","705","77.3%","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","173","52.6%","9.8%","37.0%","0.6%","2,070","5.7%","6.5%","37.6%","28.9%","8.0%","8.2%","5.1%","87.8%","13.3%","468","91.5%","2.4%","391","92.1%","10.5%","892","88.3%","18.8%","319","75.5%","17.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172","5.2%","33.7%","52.9%","8.1%","1,634","7.3%","5.6%","31.0%","18.3%","15.2%","17.6%","4.9%","87.0%","22.5%","228","92.1%","10.5%","282","87.6%","26.6%","738","89.6%","24.7%","386","78.8%","22.3%"
"Treasure County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96","19.8%","17.7%","44.8%","17.7%","570","4.7%","8.1%","36.7%","23.7%","6.0%","16.0%","4.9%","87.2%","20.9%","72","86.1%","18.1%","66","100.0%","13.6%","271","88.2%","24.0%","161","80.7%","19.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54","9.3%","0.0%","59.3%","31.5%","312","3.8%","12.5%","42.0%","19.9%","4.5%","11.2%","6.1%","83.7%","17.3%","38","73.7%","5.3%","46","100.0%","8.7%","152","81.6%","22.4%","76","82.9%","18.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42","33.3%","40.5%","26.2%","0.0%","258","5.8%","2.7%","30.2%","28.3%","7.8%","21.7%","3.5%","91.5%","25.2%","34","100.0%","32.4%","20","100.0%","25.0%","119","96.6%","26.1%","85","78.8%","21.2%"
"Valley County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","429","25.6%","25.9%","40.1%","8.4%","5,168","5.1%","7.6%","37.4%","24.3%","8.7%","13.7%","3.2%","87.3%","16.9%","684","88.7%","25.3%","798","91.4%","21.2%","2,203","91.7%","21.4%","1,483","78.1%","4.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","217","24.0%","26.3%","33.2%","16.6%","2,551","6.3%","4.8%","40.9%","20.5%","9.2%","15.3%","3.0%","88.9%","18.3%","333","85.3%","20.7%","415","88.7%","22.7%","1,124","94.9%","24.0%","679","80.7%","4.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","212","27.4%","25.5%","47.2%","0.0%","2,617","3.9%","10.3%","34.0%","28.1%","8.2%","12.2%","3.5%","85.9%","15.6%","351","92.0%","29.6%","383","94.3%","19.6%","1,079","88.3%","18.6%","804","75.9%","3.6%"
"Wheatland County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159","80.5%","11.9%","7.5%","0.0%","1,560","6.0%","12.2%","41.2%","21.3%","2.8%","11.9%","4.5%","81.8%","16.4%","163","54.0%","10.4%","139","90.6%","36.7%","715","89.9%","16.8%","543","77.2%","12.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68","72.1%","27.9%","0.0%","0.0%","764","1.2%","16.0%","41.8%","18.7%","1.8%","13.0%","7.6%","82.9%","20.5%","46","37.0%","37.0%","70","90.0%","32.9%","413","88.9%","17.7%","235","79.1%","18.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91","86.8%","0.0%","13.2%","0.0%","796","10.6%","8.7%","40.7%","23.9%","3.8%","10.9%","1.5%","80.8%","12.4%","117","60.7%","0.0%","69","91.3%","40.6%","302","91.4%","15.6%","308","75.6%","7.8%"
"Wibaux County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77","6.5%","50.6%","42.9%","0.0%","768","10.8%","14.1%","31.1%","15.1%","13.0%","13.0%","2.9%","75.1%","15.9%","85","65.9%","5.9%","87","83.9%","29.9%","368","81.5%","20.1%","228","64.9%","7.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51","9.8%","76.5%","13.7%","0.0%","419","14.1%","17.9%","32.7%","9.5%","14.8%","10.0%","1.0%","68.0%","11.0%","62","61.3%","4.8%","26","61.5%","11.5%","222","73.9%","14.4%","109","61.5%","7.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26","0.0%","0.0%","100.0%","0.0%","349","6.9%","9.5%","29.2%","21.8%","10.9%","16.6%","5.2%","83.7%","21.8%","23","78.3%","8.7%","61","93.4%","37.7%","146","93.2%","28.8%","119","68.1%","7.6%"
"Yellowstone County, Montana","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,948","17.4%","36.7%","37.9%","8.0%","96,750","2.7%","5.8%","30.9%","23.7%","7.9%","21.0%","8.0%","91.4%","29.0%","19,024","92.5%","30.1%","18,433","93.3%","33.1%","39,282","93.9%","30.9%","20,011","83.8%","20.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,315","17.7%","41.0%","34.9%","6.4%","46,476","2.9%","5.9%","31.3%","23.1%","7.7%","20.0%","9.1%","91.2%","29.1%","9,452","91.6%","25.6%","9,102","92.9%","30.3%","19,401","93.3%","31.8%","8,521","83.9%","25.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,633","17.0%","32.7%","40.7%","9.6%","50,274","2.6%","5.7%","30.5%","24.4%","8.0%","22.0%","6.9%","91.7%","28.9%","9,572","93.4%","34.5%","9,331","93.8%","35.8%","19,881","94.5%","30.1%","11,490","83.7%","16.4%"
"Adams County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,632","11.8%","36.2%","47.6%","4.4%","19,909","4.3%","6.7%","32.2%","24.4%","11.0%","13.6%","7.8%","89.1%","21.5%","3,502","88.1%","22.3%","3,529","89.2%","25.2%","8,114","93.1%","23.3%","4,764","82.7%","15.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,920","11.0%","31.8%","53.0%","4.3%","9,598","5.4%","7.1%","32.4%","24.2%","9.8%","12.7%","8.5%","87.5%","21.1%","1,819","84.9%","17.2%","1,784","85.9%","20.5%","4,037","93.7%","24.0%","1,958","78.6%","19.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,712","12.8%","41.1%","41.5%","4.6%","10,311","3.3%","6.2%","31.9%","24.6%","12.2%","14.5%","7.2%","90.5%","21.8%","1,683","91.4%","27.9%","1,745","92.5%","30.0%","4,077","92.6%","22.6%","2,806","85.6%","11.8%"
"Antelope County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","425","24.5%","41.2%","29.4%","4.9%","4,699","4.1%","6.1%","40.5%","22.7%","10.1%","12.0%","4.5%","89.8%","16.5%","619","93.4%","31.7%","689","89.4%","15.2%","2,011","94.5%","16.2%","1,380","81.4%","10.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253","27.7%","43.1%","24.5%","4.7%","2,276","4.8%","6.1%","44.9%","18.5%","11.2%","9.3%","5.3%","89.1%","14.6%","310","95.8%","20.6%","335","83.3%","14.9%","1,030","94.5%","14.1%","601","79.9%","12.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172","19.8%","38.4%","36.6%","5.2%","2,423","3.4%","6.2%","36.3%","26.7%","9.2%","14.5%","3.8%","90.4%","18.2%","309","90.9%","42.7%","354","95.2%","15.5%","981","94.6%","18.3%","779","82.7%","9.6%"
"Arthur County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13","15.4%","23.1%","23.1%","38.5%","285","2.8%","4.2%","25.6%","33.3%","16.1%","13.3%","4.6%","93.0%","17.9%","49","100.0%","34.7%","59","94.9%","13.6%","101","94.1%","12.9%","76","85.5%","17.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6","33.3%","50.0%","16.7%","0.0%","147","2.0%","6.1%","26.5%","34.0%","14.3%","12.2%","4.8%","91.8%","17.0%","18","100.0%","27.8%","34","91.2%","11.8%","52","88.5%","13.5%","43","93.0%","20.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7","0.0%","0.0%","28.6%","71.4%","138","3.6%","2.2%","24.6%","32.6%","18.1%","14.5%","4.3%","94.2%","18.8%","31","100.0%","38.7%","25","100.0%","16.0%","49","100.0%","12.2%","33","75.8%","12.1%"
"Banner County, Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43","0.0%","18.6%","81.4%","0.0%","494","2.4%","3.4%","31.0%","24.1%","14.0%","16.4%","8.7%","94.1%","25.1%","40","100.0%","0.0%","77","100.0%","35.1%","258","95.3%","33.3%","119","85.7%","9.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14","0.0%","57.1%","42.9%","0.0%","252","3.6%","0.0%","42.1%","19.0%","12.7%","19.4%","3.2%","96.4%","22.6%","31","100.0%","0.0%","27","100.0%","48.1%","144","97.2%","27.8%","50","90.0%","8.0%"
