"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","540","19.4%","34.3%","42.0%","4.3%","8,665","3.3%","9.2%","38.8%","26.6%","8.6%","8.6%","4.8%","87.5%","13.5%","630","92.1%","11.9%","881","91.1%","11.5%","3,616","90.0%","14.3%","3,538","83.2%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","286","26.6%","28.7%","42.7%","2.1%","4,368","4.3%","10.6%","36.7%","26.9%","7.5%","8.9%","5.2%","85.1%","14.0%","319","92.2%","9.7%","451","85.1%","11.5%","1,817","87.7%","13.7%","1,781","81.2%","15.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254","11.4%","40.6%","41.3%","6.7%","4,297","2.3%","7.8%","41.0%","26.3%","9.8%","8.4%","4.5%","89.9%","12.9%","311","92.0%","14.1%","430","97.4%","11.4%","1,799","92.3%","15.0%","1,757","85.2%","10.9%"
"Alger County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","660","34.7%","36.4%","28.2%","0.8%","7,348","4.0%","6.7%","45.9%","18.9%","7.4%","12.6%","4.5%","89.2%","17.1%","1,111","86.0%","11.0%","1,035","89.4%","16.3%","3,083","94.2%","20.9%","2,119","83.7%","15.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","453","37.1%","37.3%","25.6%","0.0%","4,025","4.8%","9.0%","47.8%","17.9%","6.4%","10.4%","3.8%","86.2%","14.1%","788","81.9%","3.8%","598","85.3%","8.9%","1,603","91.3%","19.8%","1,036","82.1%","16.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","207","29.5%","34.3%","33.8%","2.4%","3,323","3.1%","4.0%","43.5%","20.0%","8.6%","15.4%","5.3%","92.9%","20.7%","323","96.3%","28.5%","437","95.0%","26.5%","1,480","97.2%","22.1%","1,083","85.1%","14.1%"
"Allegan County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,712","18.1%","40.6%","37.1%","4.1%","75,010","3.3%","6.6%","38.9%","22.3%","8.0%","14.1%","6.7%","90.0%","20.8%","12,461","90.5%","18.8%","14,080","92.4%","24.3%","32,636","92.9%","20.2%","15,833","81.6%","20.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,413","19.8%","42.1%","35.7%","2.4%","36,865","3.9%","7.3%","39.6%","21.0%","7.9%","12.7%","7.5%","88.8%","20.2%","6,218","88.0%","13.4%","7,074","91.5%","21.6%","16,325","91.5%","20.2%","7,248","80.6%","24.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,299","16.4%","39.1%","38.5%","5.9%","38,145","2.8%","5.9%","38.1%","23.5%","8.2%","15.4%","6.1%","91.2%","21.5%","6,243","93.1%","24.3%","7,006","93.3%","26.9%","16,311","94.2%","20.3%","8,585","82.5%","17.3%"
"Alpena County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,171","15.6%","24.3%","58.0%","2.0%","21,177","3.6%","7.5%","34.5%","26.6%","11.8%","9.4%","6.7%","88.9%","16.1%","2,864","86.6%","12.3%","3,150","95.3%","24.8%","9,154","92.6%","16.9%","6,009","81.1%","12.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,125","15.6%","32.8%","50.5%","1.2%","10,210","3.4%","8.3%","35.3%","27.7%","10.3%","9.1%","6.0%","88.3%","15.1%","1,457","86.7%","8.0%","1,537","94.5%","19.5%","4,557","90.8%","15.9%","2,659","81.4%","14.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,046","15.7%","15.2%","66.2%","3.0%","10,967","3.8%","6.7%","33.8%","25.5%","13.2%","9.7%","7.3%","89.5%","17.0%","1,407","86.4%","16.6%","1,613","96.1%","29.8%","4,597","94.5%","17.9%","3,350","80.8%","9.8%"
"Antrim County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,483","21.9%","30.5%","41.8%","5.8%","17,244","2.9%","6.4%","33.5%","24.4%","8.0%","15.5%","9.4%","90.8%","24.9%","2,000","90.2%","13.7%","2,341","92.4%","18.7%","7,312","92.8%","24.6%","5,591","87.7%","31.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","752","24.5%","28.6%","39.4%","7.6%","8,503","4.1%","6.9%","33.1%","23.8%","6.7%","15.3%","10.2%","89.0%","25.5%","1,024","88.5%","8.1%","1,185","89.2%","13.2%","3,625","90.6%","24.6%","2,669","87.0%","38.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","731","19.3%","32.4%","44.3%","4.0%","8,741","1.7%","5.9%","34.0%","24.9%","9.3%","15.7%","8.6%","92.5%","24.3%","976","91.9%","19.6%","1,156","95.6%","24.3%","3,687","94.9%","24.6%","2,922","88.4%","25.6%"
"Arenac County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,153","21.4%","44.1%","30.1%","4.4%","11,423","4.5%","10.6%","43.2%","22.6%","7.5%","7.3%","4.3%","84.9%","11.5%","1,484","83.6%","14.0%","1,602","87.8%","12.0%","5,004","88.8%","11.2%","3,333","78.2%","10.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","623","26.5%","45.1%","24.1%","4.3%","5,766","6.2%","11.8%","45.6%","20.8%","5.4%","6.6%","3.7%","82.1%","10.3%","756","80.3%","10.2%","817","82.4%","10.6%","2,574","86.5%","8.7%","1,619","75.7%","12.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","530","15.5%","42.8%","37.2%","4.5%","5,657","2.8%","9.4%","40.9%","24.4%","9.7%","8.0%","4.9%","87.8%","12.8%","728","87.0%","18.0%","785","93.5%","13.5%","2,430","91.2%","13.8%","1,714","80.6%","9.0%"
"Baraga County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","663","30.9%","50.2%","14.3%","4.5%","6,578","6.5%","13.3%","42.5%","19.4%","5.9%","8.7%","3.8%","80.2%","12.5%","1,385","64.4%","9.2%","1,066","85.2%","11.6%","2,597","84.9%","14.0%","1,530","83.1%","13.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","478","36.4%","58.2%","4.4%","1.0%","4,041","8.2%","18.1%","45.4%","16.8%","2.7%","6.4%","2.4%","73.7%","8.7%","1,106","57.8%","4.9%","686","80.8%","4.4%","1,522","77.5%","11.3%","727","83.5%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185","16.8%","29.7%","40.0%","13.5%","2,537","3.8%","5.6%","37.7%","23.4%","10.9%","12.5%","6.0%","90.5%","18.6%","279","90.7%","26.2%","380","93.2%","24.7%","1,075","95.4%","17.8%","803","82.7%","14.1%"
"Barry County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,467","20.2%","40.2%","33.2%","6.4%","40,703","2.4%","6.2%","37.6%","24.7%","10.6%","11.9%","6.6%","91.4%","18.5%","6,212","90.0%","17.3%","7,164","91.7%","24.1%","17,915","94.3%","17.2%","9,412","86.9%","17.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,381","24.7%","43.4%","29.2%","2.7%","20,175","2.5%","7.7%","38.3%","25.8%","9.1%","10.5%","6.2%","89.8%","16.6%","3,181","86.6%","11.3%","3,583","89.4%","20.3%","9,085","93.3%","15.5%","4,326","85.1%","19.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,086","15.1%","36.4%","37.8%","10.7%","20,528","2.2%","4.7%","37.0%","23.6%","12.1%","13.2%","7.1%","93.1%","20.3%","3,031","93.5%","23.7%","3,581","94.0%","27.8%","8,830","95.2%","19.0%","5,086","88.3%","15.4%"
"Bay County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,108","14.0%","34.2%","44.5%","7.3%","74,904","2.9%","8.1%","35.5%","23.8%","11.1%","12.7%","5.9%","89.0%","18.6%","12,324","91.9%","22.7%","12,675","89.2%","22.4%","31,385","92.5%","18.7%","18,520","80.8%","13.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,632","13.8%","38.8%","43.4%","4.0%","35,979","3.0%","8.3%","36.9%","23.6%","9.1%","12.6%","6.4%","88.7%","19.0%","6,243","91.3%","16.4%","6,403","87.5%","20.7%","15,405","91.8%","19.4%","7,928","81.5%","19.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,476","14.1%","29.4%","45.7%","10.8%","38,925","2.9%","7.8%","34.2%","23.9%","12.9%","12.7%","5.4%","89.2%","18.1%","6,081","92.5%","29.2%","6,272","90.9%","24.1%","15,980","93.2%","18.0%","10,592","80.3%","8.4%"
"Benzie County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098","22.2%","40.9%","34.5%","2.4%","12,907","2.3%","6.9%","34.3%","22.5%","9.1%","13.9%","10.9%","90.8%","24.8%","1,626","88.3%","17.8%","1,906","90.8%","25.4%","5,416","93.3%","22.7%","3,959","88.3%","30.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","603","21.7%","45.8%","30.2%","2.3%","6,285","3.1%","8.5%","35.5%","22.3%","6.7%","13.1%","10.9%","88.4%","24.0%","834","83.5%","10.7%","943","85.5%","18.6%","2,637","92.0%","22.1%","1,871","87.1%","35.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495","22.8%","34.9%","39.8%","2.4%","6,622","1.6%","5.4%","33.2%","22.7%","11.5%","14.7%","10.9%","93.0%","25.6%","792","93.3%","25.3%","963","96.1%","32.1%","2,779","94.6%","23.3%","2,088","89.4%","25.7%"
"Berrien County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,399","18.4%","34.7%","40.4%","6.6%","106,881","4.0%","7.7%","31.5%","22.8%","9.2%","14.9%","9.9%","88.3%","24.8%","17,468","87.8%","25.9%","18,429","89.1%","28.8%","44,563","91.0%","25.0%","26,421","83.4%","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,876","21.5%","36.1%","36.0%","6.4%","50,890","4.2%","7.8%","31.6%","21.8%","8.3%","15.7%","10.8%","88.0%","26.4%","8,647","87.8%","24.3%","9,059","87.6%","27.0%","21,706","90.2%","26.7%","11,478","84.6%","27.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,523","15.1%","33.3%","44.9%","6.7%","55,991","3.9%","7.6%","31.4%","23.7%","10.1%","14.2%","9.1%","88.5%","23.3%","8,821","87.8%","27.5%","9,370","90.6%","30.6%","22,857","91.8%","23.4%","14,943","82.4%","16.2%"
"Branch County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,551","25.0%","39.2%","29.9%","5.9%","29,964","4.2%","8.7%","41.5%","24.5%","7.9%","8.6%","4.6%","87.0%","13.1%","5,179","87.2%","14.1%","5,461","87.4%","11.1%","12,376","90.3%","14.2%","6,948","80.8%","12.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,949","28.2%","40.4%","26.6%","4.8%","15,347","4.4%","9.8%","44.2%","23.8%","5.6%","8.3%","3.8%","85.8%","12.1%","2,752","88.2%","12.6%","2,996","85.9%","8.8%","6,452","88.9%","13.0%","3,147","77.1%","13.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,602","21.2%","37.7%","33.9%","7.2%","14,617","4.0%","7.6%","38.7%","25.2%","10.3%","8.8%","5.4%","88.4%","14.2%","2,427","86.0%","15.7%","2,465","89.2%","13.9%","5,924","91.9%","15.5%","3,801","83.9%","11.5%"
"Calhoun County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,179","17.1%","32.1%","45.0%","5.8%","91,028","3.6%","7.2%","34.7%","25.6%","9.2%","12.9%","6.7%","89.2%","19.6%","16,081","88.2%","17.9%","16,631","92.1%","23.0%","37,327","92.3%","20.0%","20,989","82.1%","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,297","22.5%","33.6%","39.6%","4.3%","43,355","3.6%","7.7%","36.7%","24.3%","7.3%","13.8%","6.6%","88.7%","20.4%","7,799","87.9%","17.2%","8,178","90.8%","20.6%","18,278","91.2%","20.2%","9,100","82.4%","23.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,882","11.3%","30.6%","50.7%","7.4%","47,673","3.6%","6.8%","33.0%","26.9%","11.0%","12.0%","6.8%","89.7%","18.8%","8,282","88.5%","18.6%","8,453","93.3%","25.3%","19,049","93.4%","19.8%","11,889","81.8%","12.8%"
"Cass County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,153","28.9%","27.0%","40.5%","3.6%","36,289","2.7%","9.4%","36.9%","24.6%","9.4%","11.3%","5.6%","87.9%","16.9%","4,933","86.6%","14.4%","6,181","90.1%","19.4%","15,935","90.6%","18.1%","9,240","82.3%","14.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,173","34.0%","27.9%","37.0%","1.2%","17,858","3.2%","9.5%","40.2%","23.2%","7.9%","10.5%","5.5%","87.3%","16.0%","2,460","84.0%","12.2%","3,148","89.2%","15.7%","7,945","91.0%","16.9%","4,305","81.2%","16.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,980","23.3%","26.1%","44.3%","6.3%","18,431","2.2%","9.4%","33.7%","26.0%","10.8%","12.1%","5.8%","88.4%","17.9%","2,473","89.2%","16.5%","3,033","91.0%","23.2%","7,990","90.3%","19.2%","4,935","83.4%","12.9%"
"Charlevoix County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,759","10.1%","41.3%","42.6%","6.1%","18,778","2.0%","6.7%","31.6%","24.2%","8.4%","16.6%","10.5%","91.3%","27.1%","2,466","91.0%","22.9%","2,783","92.5%","28.8%","8,276","92.9%","24.7%","5,253","88.2%","31.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","918","7.6%","45.8%","42.2%","4.5%","9,114","2.0%","7.1%","32.9%","23.0%","6.3%","17.6%","11.2%","90.9%","28.7%","1,254","90.9%","23.2%","1,343","88.9%","29.0%","4,080","93.1%","24.4%","2,437","88.4%","38.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841","12.7%","36.4%","43.0%","7.8%","9,664","2.0%","6.4%","30.3%","25.3%","10.4%","15.7%","9.9%","91.6%","25.6%","1,212","91.1%","22.5%","1,440","95.8%","28.6%","4,196","92.8%","25.1%","2,816","88.0%","26.0%"
"Cheboygan County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,712","10.7%","43.0%","43.3%","3.0%","19,148","2.5%","9.2%","40.1%","23.1%","8.4%","10.8%","6.0%","88.4%","16.8%","2,246","88.2%","11.3%","2,831","92.0%","14.4%","8,118","90.3%","17.6%","5,953","84.1%","18.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","888","10.7%","49.8%","36.9%","2.6%","9,391","2.9%","10.1%","40.7%","21.3%","6.4%","11.6%","7.0%","87.1%","18.6%","1,147","85.4%","8.3%","1,421","89.2%","13.5%","3,976","90.1%","20.4%","2,847","82.4%","22.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","824","10.8%","35.7%","50.1%","3.4%","9,757","2.1%","8.3%","39.4%","24.8%","10.4%","9.9%","5.1%","89.6%","15.0%","1,099","91.3%","14.5%","1,410","94.8%","15.2%","4,142","90.4%","14.8%","3,106","85.7%","15.4%"
"Chippewa County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,490","14.3%","29.5%","50.4%","5.7%","26,333","3.0%","7.6%","38.1%","24.6%","7.4%","12.2%","7.1%","89.4%","19.4%","4,870","88.3%","15.6%","4,998","93.0%","22.1%","10,552","92.0%","19.0%","5,913","82.4%","20.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,495","19.4%","32.3%","44.8%","3.4%","14,738","3.2%","8.5%","40.5%","25.4%","5.6%","10.5%","6.3%","88.3%","16.7%","3,063","86.1%","10.0%","3,051","93.3%","16.3%","5,823","90.0%","16.5%","2,801","81.7%","25.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,995","7.9%","26.0%","57.4%","8.6%","11,595","2.7%","6.6%","35.0%","23.5%","9.5%","14.4%","8.3%","90.7%","22.7%","1,807","92.1%","25.2%","1,947","92.4%","31.2%","4,729","94.6%","22.0%","3,112","83.0%","17.0%"
"Clare County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,389","21.4%","34.3%","41.9%","2.3%","22,124","4.6%","11.4%","40.2%","25.7%","7.6%","7.1%","3.4%","84.0%","10.5%","2,931","81.3%","12.2%","3,338","87.6%","11.3%","9,465","88.8%","11.2%","6,390","76.4%","8.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,189","21.4%","40.5%","36.2%","1.8%","10,947","6.0%","12.8%","41.3%","23.8%","6.6%","6.3%","3.2%","81.2%","9.5%","1,474","75.5%","7.3%","1,690","82.4%","10.4%","4,686","86.3%","9.9%","3,097","75.6%","9.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,200","21.3%","28.2%","47.6%","2.9%","11,177","3.2%","10.0%","39.2%","27.6%","8.6%","7.8%","3.7%","86.8%","11.5%","1,457","87.2%","17.2%","1,648","93.0%","12.3%","4,779","91.3%","12.5%","3,293","77.1%","7.2%"
"Clinton County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,693","9.1%","22.2%","57.1%","11.6%","50,604","2.1%","4.5%","28.0%","25.9%","10.8%","17.8%","10.9%","93.4%","28.7%","8,390","95.2%","37.0%","9,365","95.1%","35.0%","22,012","95.2%","28.1%","10,837","86.8%","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,827","11.3%","24.9%","51.8%","12.0%","24,613","2.4%","5.5%","28.3%","26.0%","10.4%","15.8%","11.5%","92.1%","27.4%","4,269","94.1%","31.6%","4,497","92.7%","31.6%","10,871","94.1%","26.5%","4,976","85.4%","21.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,866","6.9%","19.6%","62.2%","11.3%","25,991","1.8%","3.6%","27.6%","25.7%","11.3%","19.7%","10.3%","94.6%","30.0%","4,121","96.3%","42.5%","4,868","97.4%","38.1%","11,141","96.2%","29.6%","5,861","88.0%","15.4%"
"Crawford County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","930","21.4%","40.1%","33.1%","5.4%","10,365","2.6%","11.6%","36.0%","25.0%","9.1%","9.9%","5.9%","85.8%","15.8%","1,236","88.3%","17.8%","1,388","86.2%","21.9%","4,658","88.6%","14.1%","3,083","80.4%","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","508","28.9%","40.7%","23.6%","6.7%","5,201","3.3%","12.1%","37.3%","26.9%","6.3%","7.5%","6.5%","84.6%","14.0%","611","89.7%","12.4%","694","82.7%","18.3%","2,394","86.8%","11.2%","1,502","79.8%","17.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","422","12.3%","39.3%","44.5%","3.8%","5,164","2.0%","11.0%","34.6%","23.1%","11.9%","12.2%","5.3%","87.0%","17.5%","625","86.9%","23.0%","694","89.6%","25.5%","2,264","90.5%","17.2%","1,581","81.0%","12.2%"
"Delta County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,675","18.8%","24.0%","53.1%","4.1%","26,625","3.0%","5.8%","36.7%","24.0%","12.5%","13.1%","4.9%","91.2%","18.0%","3,606","93.8%","21.7%","3,999","95.2%","23.9%","11,567","94.4%","17.1%","7,453","82.8%","14.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,395","24.8%","24.9%","48.1%","2.2%","12,963","3.3%","6.6%","36.0%","24.9%","10.6%","13.4%","5.2%","90.1%","18.6%","1,812","93.0%","19.8%","2,017","91.9%","20.4%","5,765","93.1%","18.6%","3,369","82.4%","17.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,280","12.3%","23.0%","58.5%","6.3%","13,662","2.7%","5.0%","37.4%","23.2%","14.3%","12.7%","4.6%","92.2%","17.4%","1,794","94.5%","23.7%","1,982","98.6%","27.3%","5,802","95.7%","15.7%","4,084","83.2%","12.2%"
"Dickinson County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,804","31.3%","36.8%","30.5%","1.4%","18,884","1.6%","5.3%","40.7%","21.4%","9.6%","13.8%","7.6%","93.1%","21.4%","2,646","95.4%","26.4%","2,854","94.7%","22.1%","8,273","95.3%","22.5%","5,111","87.5%","16.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","959","39.9%","35.7%","21.8%","2.6%","9,221","1.9%","5.3%","41.6%","21.3%","7.7%","14.8%","7.5%","92.8%","22.3%","1,356","97.6%","25.1%","1,432","93.7%","18.0%","4,157","95.1%","24.8%","2,276","85.2%","18.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","845","21.5%","38.1%","40.4%","0.0%","9,663","1.2%","5.4%","39.8%","21.5%","11.4%","12.8%","7.8%","93.4%","20.6%","1,290","93.0%","27.8%","1,422","95.8%","26.3%","4,116","95.5%","20.1%","2,835","89.2%","15.3%"
"Eaton County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,615","11.7%","31.5%","46.7%","10.1%","74,150","1.8%","5.0%","29.9%","27.9%","11.2%","15.8%","8.4%","93.2%","24.2%","13,025","94.3%","29.3%","12,878","94.1%","27.0%","31,837","94.3%","22.7%","16,410","89.4%","20.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,924","13.3%","34.5%","45.6%","6.5%","35,520","2.1%","5.4%","30.2%","27.5%","10.1%","16.1%","8.5%","92.4%","24.6%","6,450","94.0%","26.0%","6,372","92.2%","24.3%","15,338","93.5%","23.0%","7,360","89.0%","27.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,691","10.0%","28.4%","47.8%","13.9%","38,630","1.5%","4.6%","29.6%","28.3%","12.1%","15.5%","8.3%","93.8%","23.8%","6,575","94.5%","32.6%","6,506","96.0%","29.7%","16,499","95.0%","22.4%","9,050","89.7%","15.8%"
"Emmet County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,559","12.7%","29.7%","49.5%","8.1%","23,244","1.6%","4.2%","27.1%","23.9%","9.9%","21.0%","12.3%","94.2%","33.3%","3,441","92.7%","32.2%","3,777","95.6%","32.4%","10,080","96.0%","32.2%","5,946","91.0%","36.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,339","13.7%","35.0%","46.2%","5.1%","11,179","1.8%","4.6%","28.4%","22.2%","7.3%","21.8%","13.7%","93.5%","35.6%","1,671","92.6%","29.6%","1,891","94.1%","31.3%","4,882","94.8%","34.7%","2,735","91.4%","43.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,220","11.6%","23.9%","53.1%","11.3%","12,065","1.4%","3.9%","25.9%","25.4%","12.3%","20.3%","10.9%","94.8%","31.2%","1,770","92.7%","34.6%","1,886","97.1%","33.6%","5,198","97.2%","29.8%","3,211","90.7%","30.0%"
"Genesee County, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,166","19.8%","31.8%","42.8%","5.6%","279,399","2.7%","8.3%","33.1%","27.1%","9.7%","12.0%","7.2%","89.0%","19.2%","48,780","89.7%","20.7%","52,336","92.4%","22.9%","116,911","91.3%","19.3%","61,372","81.4%","14.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,044","23.5%","34.5%","38.2%","3.8%","130,941","2.5%","9.1%","34.7%","26.8%","7.8%","11.9%","7.0%","88.4%","19.0%","23,444","88.8%","17.7%","25,214","90.3%","20.5%","56,047","90.0%","19.2%","26,236","82.7%","18.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
